"","INSTNM","ZIP","st_fips","region","CONTROL","DEBT_MDN_SUPP","GRAD_DEBT_MDN","GRAD_DEBT_N","WDRAW_DEBT_MDN","WDRAW_DEBT_N","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","pct90_earn_wne_p10","ADM_RATE","PCTPELL","C150_4"
"1545","Ohio College of Podiatric Medicine","44131",39,3,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1546","Ohio Dominican University","43219",39,3,2,21904,31000,687,10500,879,42600,39500,10200,23800,53300,72300,0.6096,0.4189,0.4785
"1547","Ohio Northern University","45810-1599",39,3,2,22125,24188,907,12625,399,66100,54300,20100,35500,96200,130600,0.8211,0.2659,0.6712
"1548","Ohio State University-Lima Campus","45804",39,3,1,15887,20500,11913,10000,11163,48600,42600,13000,27300,62200,86400,NA,0.5329,0.4607
"1549","Ohio State University-Mansfield Campus","44906",39,3,1,15887,20500,11913,10000,11163,48600,42600,13000,27300,62200,86400,NA,0.5265,0.3995
"1550","Ohio State University-Marion Campus","43302-5695",39,3,1,15887,20500,11913,10000,11163,48600,42600,13000,27300,62200,86400,NA,0.4991,0.4086
"1551","Ohio State University-Newark Campus","43055",39,3,1,15887,20500,11913,10000,11163,48600,42600,13000,27300,62200,86400,NA,0.4398,0.3941
"1552","Ohio State University-Main Campus","43210",39,3,1,15887,20500,11913,10000,11163,48600,42600,13000,27300,62200,86400,0.6329,0.2817,0.7991
"1553","Ohio University-Main Campus","45701-2979",39,3,1,14500,22429.5,6090,9500,10873,43900,39500,11100,24500,56300,78900,0.8617,0.219,0.6503
"1554","Ohio Wesleyan University","43015-2370",39,3,2,22000,25000,390,11000,336,46900,41000,13800,26700,58800,85900,0.6983,0.236,0.6121
"1555","Otterbein University","43081",39,3,2,20750,25000,733,12000,814,45600,41200,13100,25400,57600,80200,0.7928,0.5646,0.617
"1556","Payne Theological Seminary","45384",39,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1557","Pontifical College Josephinum","43235-1499",39,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,0.1642,1
"1558","Rabbinical College Telshe","44092",39,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5366,0
"1559","University of Rio Grande","45674",39,3,2,9500,NA,0,9500,2005,34400,31800,7500,17400,45600,65400,NA,0.6341,0.4231
"1560","Shawnee State University","45662",39,3,1,9500,23000,717,8250,2980,35200,32200,6700,18400,47700,65200,NA,0.5738,0.2819
"1561","Franciscan University of Steubenville","43952-1763",39,3,2,19250,21500,707,10750,417,39700,35500,9200,22800,51500,70900,0.7642,0.291,0.7143
"1562","Ohio Mid-Western College","45246",39,3,2,5500,NA,NA,5500,146,NA,NA,NA,NA,NA,NA,NA,0.5179,0.0476
"1563","Tiffin University","44883",39,3,2,8081,23000,353,7875,6017,42700,38200,7800,23000,54900,75200,0.5104,0.6294,0.4681
"1564","University of Toledo","43606-3390",39,3,1,12625,21500,3858,9500,7730,45900,40200,11700,24900,58600,83600,NA,0.413,0.4489
"1565","Tri-State Bible College","45680",39,3,2,NA,NA,NA,9500,23,NA,NA,NA,NA,NA,NA,NA,0.6739,1
"1566","Trinity Lutheran Seminary","43209-2334",39,3,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1567","Union Institute & University","45206-1925",39,3,2,17165,18750,617,16620,852,50000,39300,7600,24100,66500,104800,NA,0.8803,0.0909
"1568","United Theological Seminary","45426-2308",39,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1569","Urbana University","43078-2091",39,3,2,14250,25257.5,246,9500,483,39500,37500,10000,22500,49700,67600,NA,0.3005,0.3042
"1570","Ursuline College","44124",39,3,2,25000,27000,167,24252.5,606,48100,42900,13300,26700,65200,89200,0.5451,0.5122,0.5435
"1571","Walsh University","44720-3396",39,3,2,20000,25753,704,10500,717,46500,41800,13300,28900,59700,81600,0.7691,0.4143,0.5973
"1572","Wilberforce University","45384-1001",39,3,2,15000,28938,145,12500,350,36900,32200,5200,15600,49600,71400,0.9247,0.7441,0.2973
"1573","Wilmington College","45177",39,3,2,18145,24668,446,10082,437,41900,39000,12000,25700,51200,70100,0.9027,0.4355,0.5109
"1574","Winebrenner Theological Seminary","45840",39,3,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1575","Wittenberg University","45504",39,3,2,22000,26000,483,9500,433,45700,42700,13900,28200,56600,78500,0.7282,0.2434,0.7131
"1576","The College of Wooster","44691",39,3,2,19375,22638,439,8812,195,49000,44400,14800,29400,62100,86600,0.6066,0.1807,0.75
"1577","Wright State University-Main Campus","45435-0001",39,3,1,13103,22622.5,3280,9500,6978,44000,38800,11700,24700,55500,75300,NA,0.4235,0.4057
"1578","Wright State University-Lake Campus","45822-2952",39,3,1,13103,22622.5,3280,9500,6978,44000,38800,11700,24700,55500,75300,NA,0.3785,0.5282
"1579","Xavier University","45207-1092",39,3,2,18500,23442.5,976,10500,905,54600,48800,18800,33600,68000,92400,0.7017,0.2031,0.7725
"1580","ITT Technical Institute-Youngstown","44509-4098",39,3,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.5467,0.852,0.403
"1581","Youngstown State University","44555-0001",39,3,1,14250.5,23625,2207,11168,6985,38400,34800,8700,20400,50200,69200,NA,0.5449,0.3415
"1582","Bacone College","74403-1597",40,6,2,9500,22880,120,8250,929,33700,30600,6100,17600,46000,62700,0.524,0.6976,0.1429
"1583","Oklahoma Wesleyan University","74006-6299",40,6,2,19080.5,20832,449,8750,372,49800,44000,13700,27200,66800,89400,0.5794,0.43,0.4797
"1584","Southern Nazarene University","73008",40,6,2,18630,18750,445,15622,972,51400,45800,12500,28300,69000,93500,NA,0.5645,0.4362
"1585","Cameron University","73505",40,6,1,7505,14500,393,6875,2243,38100,33900,7900,20300,51400,70700,NA,0.4374,0.1821
"1586","University of Central Oklahoma","73034",40,6,1,12000,19768.5,2232,8686.5,4340,44100,38400,10300,24100,56100,77600,0.7997,0.3459,0.3572
"1587","East Central University","74820-6999",40,6,1,12130,18750,705,9538,1545,38800,34500,9700,21800,47900,68300,0.9186,0.5478,0.3422
"1588","Hillsdale Free Will Baptist College","73160",40,6,2,12000,17912.5,38,9500,96,37200,33400,9400,21000,50300,63300,0.8889,0.5205,0.6222
"1589","Langston University","73050",40,6,1,17226,31500,405,13750,1586,32400,28400,5500,15100,44700,63300,NA,0.7227,0.1284
"1590","Spartan College of Aeronautics and Technology","74115",40,6,3,17937,20188,727,7600,653,42700,37900,9800,21900,57200,80000,0.6724,0.8571,0.4745
"1591","Northeastern State University","74464-2399",40,6,1,12500,18319.5,1442,10186,3444,38600,35000,8600,21700,48500,69200,0.5421,0.4999,0.2608
"1592","Northwestern Oklahoma State University","73717-2799",40,6,1,7444.5,15000,310,5500,661,43600,36100,10000,23200,51900,73600,1,0.4471,0.3692
"1593","Oklahoma State University Center for Health Sciences","74107-1898",40,6,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1594","Oklahoma Christian University","73013-1100",40,6,2,15750,24100,414,9500,533,41100,35600,8900,21300,54200,77900,0.5119,0.297,0.4474
"1595","University of Oklahoma Health Sciences Center","73104-5499",40,6,1,15546,20000,3780,12500,4473,58000,46600,13900,30100,71100,105000,NA,0.2373,NA
"1596","Oklahoma Panhandle State University","73939-0430",40,6,1,7791,15613,245,5500,426,40500,34400,7800,18000,49500,74600,0.8904,0.4203,0.2157
"1597","Oklahoma State University-Main Campus","74078-1015",40,6,1,14250,18875,3585,9958,3800,50700,43400,11900,27600,65800,92800,0.8169,0.3058,0.6184
"1598","Oklahoma State University-Oklahoma City","73107-6195",40,6,1,8000,15589.5,440,7255,3660,39100,34400,7100,18700,53000,74500,NA,0.3839,0.0737
"1599","Oklahoma Baptist University","74804",40,6,2,12500,22701,283,8750,469,37700,35300,8000,21900,49500,66100,0.6593,0.325,0.5121
"1600","Oklahoma City University","73106-1402",40,6,2,15855,21750,522,11800,486,45100,39400,11200,22600,56800,86900,0.7404,0.2222,0.6005
"1601","University of Oklahoma Norman Campus","73019-3072",40,6,1,15546,20000,3780,12500,4473,58000,46600,13900,30100,71100,105000,0.8185,0.2477,0.6789
"1602","Oklahoma State University Institute of Technology-Okmulgee","74447-3901",40,6,1,7634,12000,583,5583,1318,38200,33000,7900,19200,50600,73800,NA,0.3736,0.2747
"1603","Oral Roberts University","74171",40,6,2,22132.5,26122,431,19000,1065,39200,34900,7200,18200,51300,78200,0.5933,0.4575,0.5558
"1604","Rogers State University","74017-3252",40,6,1,8243.5,18875,419,7000,2034,35400,32600,6300,18700,48500,66100,0.5418,0.4542,0.1245
"1605","Saint Gregorys University","74804",40,6,2,14750,25000,115,9500,406,42200,38200,10100,24600,53400,73200,0.5709,0.4379,0.3059
"1606","University of Science and Arts of Oklahoma","73018-5322",40,6,1,9334,19112.5,190,5500,292,33700,30700,4700,16700,44000,64900,0.2725,0.456,0.3906
"1607","Southeastern Oklahoma State University","74701-0609",40,6,1,8250,15547,471,6433,1467,38700,34300,9100,23300,46800,67100,0.7752,0.4744,0.2913
"1608","Southwestern Christian University","73008",40,6,2,8458,22757.5,106,5500,342,30800,28200,NA,NA,NA,NA,0.6974,0.6504,0.3171
"1609","Southwestern Oklahoma State University","73096-3098",40,6,1,10313,17365,710,8125,1831,45600,37000,7400,20100,57600,97700,0.9231,0.4409,0.3681
"1610","University of Tulsa","74104-3189",40,6,2,17990,24500,478,10500,362,52900,43200,10000,25500,67000,96900,0.4095,0.1781,0.6784
"1611","The Art Institute of Portland","97209-2911",41,8,3,16334,34875,543,9935.5,1394,37400,33000,5600,16600,53200,72500,0.4127,0.5105,0.338
"1612","Concordia University-Portland","97211-6099",41,8,2,17750,23000,367,13187,715,45100,41800,7400,25300,59000,87400,0.5762,0.4156,0.5088
"1613","Eastern Oregon University","97850",41,8,1,14683.5,21152,597,12498,1807,40200,37800,9100,21200,52600,73900,0.7401,0.5015,0.3173
"1614","New Hope Christian College","97405",41,8,2,9500,23022,20,6500,65,24900,23200,NA,NA,NA,NA,0.4661,0.6148,0.2439
"1615","George Fox University","97132",41,8,2,18000,21500,704,10500,463,46900,43300,10400,25200,63000,85000,0.7962,0.3524,0.6152
"1616","ITT Technical Institute-Portland","97220",41,8,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.4738,0.6852,0.3636
"1617","Lewis & Clark College","97219-7899",41,8,2,17125,20775,421,8750,221,49900,43400,10000,24300,60800,87800,0.6602,0.1856,0.7306
"1618","Linfield College-McMinnville Campus","97128-6894",41,8,2,22517,25000,875,12500,639,54200,51300,15000,32900,73400,91200,0.7622,0.2643,0.7277
"1619","Marylhurst University","97036-0261",41,8,2,24316,30407.5,268,16125,443,40400,33300,4300,13700,58100,80800,0.697,0.4936,0
"1620","Mount Angel Seminary","97373-0505",41,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8824,0.2647,0.6
"1621","Multnomah University","97220",41,8,2,15562.5,21941,171,11375,246,34500,31400,3700,16900,46100,66000,0.7111,0.5442,0.4194
"1622","National College of Natural Medicine","97201-4848",41,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1623","Northwest Christian University","97401-3745",41,8,2,18361,21500,170,12500,195,43300,38500,7300,20200,55800,85100,0.6563,0.5324,0.6042
"1624","Oregon Health & Science University","97239-3098",41,8,1,12782.5,14862.5,742,8817.5,140,87100,74100,29300,49400,98100,156400,NA,0.3845,NA
"1625","Oregon Institute of Technology","97601-8801",41,8,1,15761,24999,581,9501,988,53800,50100,13100,29300,73900,92500,0.6413,0.3284,0.4315
"1626","Oregon College of Art and Craft","97225",41,8,2,19292,37250,44,8125,42,NA,NA,NA,NA,NA,NA,0.8792,0.5564,0.375
"1627","Oregon State University","97331",41,8,1,16000,21125,3721,11175,4821,51200,46400,12800,28400,67800,91800,0.8111,0.3322,0.6102
"1628","University of Oregon","97403",41,8,1,16267,20000,3884,11666,3392,46800,41600,10500,25200,59400,84400,0.7879,0.2549,0.6584
"1629","Pacific Northwest College of Art","97209-3023",41,8,2,16500,26500,122,9500,269,28400,22600,2500,9500,39400,60700,0.523,0.5395,0.4167
"1630","Pacific University","97116",41,8,2,18498,24750,470,8750,402,46600,42300,9300,28400,57900,81600,0.7511,0.3439,0.6142
"1631","Portland State University","97201",41,8,1,18099,23283,4178,14757,7981,48100,42800,8700,23900,64200,89500,0.6945,0.3894,0.3833
"1632","University of Portland","97203-5798",41,8,2,20500,23750,952,8250,301,54900,51700,12800,32400,72300,93900,0.6366,0.2241,0.7552
"1633","Reed College","97202-8199",41,8,2,15250,16000,269,11052,111,44600,36200,8500,20400,57900,83200,0.3985,0.1956,0.8017
"1634","Pioneer Pacific College","97070-9296",41,8,3,15292,15295,1865,9500,728,31500,29400,5900,15700,44400,57900,NA,0.6916,0.4483
"1635","Southern Oregon University","97520",41,8,1,15834,21000,483,14752.5,2300,41000,37300,8600,21400,52400,74800,0.5948,0.361,0.331
"1636","Warner Pacific College","97215-4026",41,8,2,20306,25000,622,12000,848,40200,36100,7400,18500,49500,75700,0.6119,0.5011,0.5588
"1637","Corban University","97317-9392",41,8,2,16237,21219,200,13000,466,40200,34200,4900,18500,55700,77300,0.4328,0.3261,0.5024
"1638","Western Seminary","97215-3367",41,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1639","Willamette University","97301",41,8,2,18500,21000,497,10340,259,54400,49200,13500,32000,68000,96500,0.4059,0.2515,0.7705
"1640","Western Oregon University","97361-1394",41,8,1,15000,22125,994,11000,2086,40700,38500,9800,23300,52100,70900,0.8894,0.4077,0.391
"1641","University of Western States","97230-3099",41,8,2,9719,11848,71,NA,16,55700,44800,NA,NA,NA,NA,NA,0.4872,NA
"1642","Bryn Athyn College of the New Church","19009-0717",42,2,2,6448.5,13750,21,5500,45,NA,NA,NA,NA,NA,NA,0.4442,0.2732,0.4091
"1643","Albright College","19612-5234",42,2,2,22301.5,26000,418,17250,1025,52200,48500,16100,30200,67400,90400,0.4787,0.3428,0.6
"1644","Allegheny College","16335-3902",42,2,2,25000,26200,667,10250,241,56000,49200,17200,33800,69800,94700,0.5759,0.2638,0.8039
"1645","DeSales University","18034-9568",42,2,2,20830,NA,NA,20830,1319,53000,48300,15900,30500,67600,92200,0.7263,0.2232,0.6866
"1646","Alvernia University","19607-1799",42,2,2,22625,26312,673,12000,792,44200,42600,11500,27600,56300,75300,0.7519,0.3863,0.5267
"1647","The Art Institutes of York-PA","17402-9012",42,2,3,13500,25236.5,212,9168,387,33300,31300,6600,20200,43600,57100,0.6205,0.5732,0.6902
"1648","The Art Institute of Philadelphia","19103-5198",42,2,3,15834,28250.5,1222,11000,2838,35400,31700,5900,15700,48400,67400,0.4666,0.5581,0.3788
"1649","The Art Institute of Pittsburgh","15219-1328",42,2,3,9466,31601.5,2702,7649,22884,34300,29200,5300,15100,45400,66900,0.3858,0.5877,0.3681
"1650","Baptist Bible College and Seminary","18411-1250",42,2,2,12000,17500,125,9500,275,32300,30000,4100,16200,44400,61500,0.8106,0.4523,0.5649
"1651","Arcadia University","19038-3295",42,2,2,19000,25000,695,10750,726,47600,43700,12500,26800,61900,81700,0.5354,0.3661,0.6181
"1652","Biblical Theological Seminary","19440",42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1653","Bloomsburg University of Pennsylvania","17815",42,2,1,16500,23000,2210,8750,2244,45600,43800,14100,29200,57100,75900,0.7159,0.3031,0.6107
"1654","Bryn Mawr College","19010",42,2,2,18932,20311.5,414,12000,89,58100,50400,18000,34900,72800,108700,0.4625,0.198,0.8732
"1655","Bucknell University","17837",42,2,2,23000,24000,777,12000,110,77400,68800,24000,44900,96400,131700,0.2756,0.1169,0.9098
"1656","Cabrini College","19087-3698",42,2,2,17840,25000,501,7500,487,47300,42700,11900,25900,61900,82600,0.7176,0.2509,0.5247
"1657","California University of Pennsylvania","15419-1394",42,2,1,16943.5,22775,2326,11115,2971,40500,38100,9700,24200,52000,69600,0.6001,0.3949,0.4932
"1658","Calvary Baptist Theological Seminary","19446-4797",42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1659","Carlow University","15213-3165",42,2,2,20546,26157,557,12200,637,42600,39900,12200,24300,53200,72200,0.6514,0.3678,0.5092
"1660","Carnegie Mellon University","15213-3890",42,2,2,19500,20750,1153,14118,401,95900,72000,18900,42200,111900,172000,0.3044,0.1458,0.87
"1661","Cedar Crest College","18104-6196",42,2,2,25000,27625,593,12739,467,46200,45200,13700,28700,62900,78000,0.6234,0.4266,0.4975
"1662","Central Penn College","17093-0309",42,2,3,14665,29490,280,12668,1482,34200,32100,9300,20200,43700,59100,0.4345,0.5655,0.4628
"1663","Chatham University","15232",42,2,2,17443,22200,297,9500,211,39800,34300,7100,22600,51400,72500,0.619,0.3199,0.6034
"1664","Chestnut Hill College","19118-2693",42,2,2,21000,25000,571,12305,564,43900,43000,8700,22500,59500,78000,0.8816,0.5127,0.4384
"1665","Cheyney University of Pennsylvania","19319-0200",42,2,1,15000,31875,173,12250,961,30600,30000,5200,14500,42400,57000,NA,0.7347,0.2443
"1666","Clarion University of Pennsylvania","16214",42,2,1,15500,24792.5,1476,9500,2022,39100,37200,12100,23700,49500,67100,0.7928,0.3898,0.4885
"1667","Curtis Institute of Music","19103",42,2,2,NA,17750,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1463,0.8333
"1668","Delaware Valley College","18901-2697",42,2,2,17093.5,25000,416,11000,743,45800,42200,11800,27700,60400,79600,0.7355,0.265,0.5536
"1669","Dickinson College","17013-2896",42,2,2,19000,19700,535,8750,105,58700,52100,19900,37100,72800,97500,0.4192,0.1222,0.8393
"1670","The Dickinson School of Law of the Pennsylvania State University","17013-2861",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,NA,NA,NA
"1671","Drexel University","19104",42,2,2,17990,24000,3370,10000,3359,64700,61100,16600,38100,84000,106300,0.575,0.2184,0.682
"1672","Duquesne University","15282",42,2,2,23000,25000,2093,12000,823,62900,54300,20800,37200,81000,118800,0.7013,0.2181,0.7592
"1673","East Stroudsburg University of Pennsylvania","18301-2999",42,2,1,17125,22350,1645,9500,1871,43200,42900,11800,26700,55700,71000,0.6283,0.2858,0.5888
"1674","Eastern University","19087-3696",42,2,2,18750,24000,734,14250,1239,48300,42800,11700,25700,65500,90800,0.7431,0.3633,0.6562
"1675","Edinboro University of Pennsylvania","16444-0001",42,2,1,17125,25151,1700,11000,2902,36700,33900,9100,20500,47800,65200,0.7531,0.472,0.5063
"1676","Elizabethtown College","17022-2298",42,2,2,21500,24000,730,8750,391,52100,47700,18000,34300,63400,86000,0.6578,0.2508,0.79
"1677","Evangelical Theological Seminary","17067-1222",42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1678","Franklin and Marshall College","17604-3003",42,2,2,23000,25000,455,10250,109,62400,54800,16900,38800,77300,107000,0.4467,0.1084,0.8451
"1679","Gannon University","16541-0001",42,2,2,20125,25000,567,14250,938,52200,46200,15900,29700,69200,91100,0.8519,0.3553,0.6672
"1680","Geneva College","15010-3599",42,2,2,18750,23259,731,9688,585,41500,37500,8200,20800,54800,76300,0.7895,0.4449,0.6762
"1681","Gettysburg College","17325-1486",42,2,2,19000,19750,667,6809,135,60000,52200,18100,34900,72600,100100,0.3986,0.1404,0.8465
"1682","Gratz College","19027-3010",42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132,NA
"1683","Gwynedd Mercy College","19437-0901",42,2,2,19250,25000,745,10500,726,55000,52000,14600,31900,70700,87600,0.4827,0.3189,0.7036
"1684","Haverford College","19041-1392",42,2,2,14375,15000,200,10500,31,65100,55600,15900,38100,77800,117600,0.2507,0.1555,0.9272
"1685","Holy Family University","19114-2009",42,2,2,20868,25200,740,9751,526,50300,49900,15400,31600,66100,81800,0.7041,0.3373,0.6147
"1686","Immaculata University","19345-0702",42,2,2,22000,25040,554,17625,825,50900,49000,10100,27100,68400,90200,0.779,0.1831,0.5541
"1687","Indiana University of Pennsylvania-Main Campus","15705-1098",42,2,1,18500,25000,3114,11000,4222,40800,38000,11100,24000,53000,70900,0.6021,0.389,0.5223
"1688","Juniata College","16652-2196",42,2,2,23750,25000,453,8750,138,49600,45200,17700,32700,61000,82800,0.7127,0.2203,0.7571
"1689","Keystone College","18440-0200",42,2,2,15794,25000,334,11000,899,34800,31400,8400,18300,45700,62700,0.9129,0.5961,0.4448
"1690","King's College","18711-0801",42,2,2,21250,25000,721,10500,656,54500,48900,18000,32800,71300,95500,0.7224,0.2615,0.6284
"1691","Kutztown University of Pennsylvania","19530-0730",42,2,1,17000,24000,2597,9500,2869,43200,41400,13700,27300,54900,71700,0.6766,0.2903,0.5417
"1692","La Roche College","15237-5898",42,2,2,15000,23500,359,7056.5,376,41400,38700,9400,24400,50900,71600,0.4615,0.3955,0.5232
"1693","La Salle University","19141-1199",42,2,2,18393,24500,1347,10000,1232,56300,53200,14600,35600,73300,93300,0.7323,0.3421,0.655
"1694","Lafayette College","18042-1768",42,2,2,20547,21500,491,11250,77,80100,69800,25000,44200,92800,124300,0.4031,0.1069,0.8792
"1695","Lancaster Bible College","17601-5036",42,2,2,12125,16275,292,7437.5,276,34700,30400,7300,15700,43600,64100,0.9619,0.3812,0.5847
"1696","Lancaster Theological Seminary","17603-2897",42,2,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1697","Lebanon Valley College","17003-1400",42,2,2,21560,25000,583,8750,316,49000,46100,18000,32000,60600,79300,0.6749,0.2427,0.7269
"1698","Lehigh University","18015",42,2,2,19500,21250,1086,12500,295,85800,76800,28900,52700,104900,137400,0.3337,0.147,0.8692
"1699","Lincoln University of Pennsylvania","19352-0999",42,2,1,23250,34156,515,14466,850,35500,34900,6800,19600,48300,62000,0.3558,0.6622,0.4016
"1700","Lock Haven University","17745-2390",42,2,1,17455.5,25000,1337,9500,1793,40500,39100,12100,24500,52800,68900,0.715,0.3945,0.4617
"1701","Lutheran Theological Seminary at Gettysburg","17325-1795",42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1702","Lutheran Theological Seminary at Philadelphia","19119-1794",42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1703","Lycoming College","17701-5192",42,2,2,24980,26000,407,11375,322,45900,42800,15200,27700,57100,81800,0.6954,0.3422,0.7003
"1704","Mansfield University of Pennsylvania","16933",42,2,1,18250,25000,977,9780,1091,39700,38100,9000,22700,51400,67800,0.7684,0.4757,0.5272
"1705","Marywood University","18509-1598",42,2,2,22500,26000,691,13000,632,40600,38000,11600,24100,52800,70100,0.7001,0.3632,0.6246
"1706","Mercyhurst College","16546",42,2,2,16233,24500,941,11963,1910,41600,38500,10900,23600,53000,71700,0.7622,0.4238,0.6206
"1707","Messiah College","17027",42,2,2,21000,24108.5,876,9500,391,44400,41400,10200,24400,58300,78100,0.6426,0.2151,0.7412
"1708","Millersville University of Pennsylvania","17551-0302",42,2,1,17500,23250,2174,10250,2276,44100,43200,14200,28800,55500,71000,0.5769,0.2859,0.6447
"1709","Misericordia University","18612-1098",42,2,2,22610,25000,686,17125,636,49700,47500,16400,31800,64400,81700,0.5728,0.2777,0.6389
"1710","Moore College of Art and Design","19103-1179",42,2,2,22875,26000,207,9500,109,33900,30500,4900,14100,48500,57600,0.6673,0.4108,0.5696
"1711","Moravian College and Moravian Theological Seminary","18018-6650",42,2,2,21500,25000,522,10275,396,52300,50000,13800,33500,65600,86900,0.7969,0.2963,0.7644
"1712","Mount Aloysius College","16630-1999",42,2,2,12497.5,21000,512,9500,757,40300,36600,9800,23000,55200,70200,0.7227,0.5022,0.5085
"1713","Muhlenberg College","18104",42,2,2,22875,25000,586,11721.5,198,64800,56000,22300,37700,79100,108500,0.4322,0.1125,0.8559
"1714","Neumann University","19014-1298",42,2,2,19000,25000,345,14527.5,1096,44800,41600,11900,26400,58800,79500,0.9026,0.6727,0.5536
"1715","Salus University","19027-6262",42,2,2,3912,4209,103,3877,80,90400,94700,15400,52600,124900,144600,NA,NA,NA
"1716","Pennsylvania State University-Penn State Erie-Behrend College","16563-0002",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8355,0.3422,0.6687
"1717","Pennsylvania State University-Penn State Great Valley","19355-1488",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,NA,NA,NA
"1718","Pennsylvania State University-College of Medicine","17033-2360",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,NA,NA,NA
"1719","Pennsylvania State University-Penn State New Kensington","15068-1765",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8507,0.3563,0.4
"1720","Pennsylvania State University-Penn State Shenango","16146-1537",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.7333,0.6176,0.4455
"1721","Pennsylvania State University-Penn State Wilkes-Barre","18627-0217",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.9243,0.3811,0.4907
"1722","Pennsylvania State University-Penn State Worthington Scranton","18512-1602",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8808,0.4704,0.4612
"1723","Pennsylvania State University-Penn State Lehigh Valley","18034-8447",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.874,0.349,0.4658
"1724","Pennsylvania State University-Penn State Altoona","16601-3777",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.7728,0.353,0.6367
"1725","Pennsylvania State University-Penn State Beaver","15061-2764",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.9161,0.3653,0.4328
"1726","Pennsylvania State University-Penn State Berks","19610-1016",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8151,0.3314,0.5436
"1727","Pennsylvania State University-Penn State Harrisburg","17057-4846",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8294,0.3264,0.6376
"1728","Pennsylvania State University-Penn State Brandywine","19063-5522",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8127,0.318,0.3721
"1729","Pennsylvania State University-Penn State Dubois","15801-2597",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.9031,0.5256,0.5723
"1730","Pennsylvania State University-Penn State Fayette- Eberly Campus","15401-0519",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8919,0.5043,0.436
"1731","Pennsylvania State University-Penn State Hazleton","18202-8025",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.9013,0.452,0.5
"1732","Pennsylvania State University-Main Campus","16802-1589",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.5479,0.1919,0.8667
"1733","Pennsylvania State University-Penn State Greater Allegheny","15131-7644",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8282,0.4987,0.4583
"1734","Pennsylvania State University-Penn State Mont Alto","17237-9700",42,2,1,20125,25000,19297,11000,15764,53500,47500,14400,30000,69700,94200,0.8619,0.4073,0.5437
